a	n	ei, ə	loại a, hạng nhất
aa	n		Hội cai rượu
aaa	n		Hội thể thao không chuyên
aardvark	n		lợn đất
aasvogel	n	'ɑ:sfougəl	con kên kên
ab	n		thủy thủ hạng nhất
aba	n	'ɑ:bə	áo aba
abaci	n	'æbəkəs	bàn tính
aback	d	ə'bæk	lùi lại, trở lại phía sau
abacus	n	'æbəkəs	bàn tính
abaddon	n	ə'bædən	âm ti, địa ngục
abaft	d	ə'bɑ:ft	ở phía sau bánh lái, gần phía bánh lái
abalone	n	,æbə'louni	bào ngư
abandon	v	ə'bændən	từ bỏ, bỏ rơi
abandoned	a	ə'bændənd	bị bỏ rơi, bị ruồng bỏ
abandoner	n	ə'bændənə	người rút đơn
abandonment	n	ə'bændənmənt	sự bỏ, sự từ bỏ
abase	v	ə'beis	làm hạ phẩm giá, làm mất thể diện
abasement	n	ə'beismənt	sự làm hạ phẩm giá, sự làm mất thể diện
abash	v	ə'bæʃ	làm bối rối, làm lúng túng
abashment	n	ə'bæʃmənt	sự bối rối, sự lúng túng
abask	d	ə'bɑ:sk	dưới ánh nắng, dưới ánh mặt trời
abatable	a	ə'beitəbl	có thể làm dịu, có thể làm yếu đi
abate	v	ə'beit	làm dịu đi, làm yếu đi
abatement	n	ə'beitmənt	sự dịu đi, sự yếu đi
abatis	n	'æbətis	đống cây chướng ngại, đống cây cản
abatised	a	'æbətist	có đống cây chướng ngại, có đống cây cản
abattoir	n	'æbətwɑ:	lò mổ, lò sát sinh
abb	n	æb	sợi canh, sợi khổ
abbacy	n	'æbəsi	chức vị trưởng tu viện, quyền hạn trưởng
abbatial	a	ə'beiʃəl	trưởng tu viện
abbess	n	'æbis	bà trưởng tu viện
abbey	n	'æbi	tu viện
abbot	n	'æbət	cha trưởng tu viện
abbreviate	v	ə'bri:vieit	tóm tắt, viết tắt
abbreviated	a	ə'bri:vietid	tóm tắt, viết tắt
abbreviation	n	ə,bri:vi'eiʃn	sự tóm tắt, sự rút ngắn
abbreviator	n	ə'bri:vieitə	người tóm tắt
abc	n		bảng chữ cái
abdicant	n	'æbdikeitə/ (abdicant) /'æbdikənt	người từ bỏ
abdicate	v	'æbdikeit	từ bỏ
abdication	n	,æbdi'keiʃn	sự thoái vị, sự từ ngôi
abdicator	n	'æbdikeitə/ (abdicant) /'æbdikənt	người từ bỏ
abdomen	n	'æbdəmen	bụng
abdominal	a	æb'dɔminl	bụng, ở bụng
abdominous	a	æb'dɔminəs	phệ bụng
abducent	a	æb'dju:sənt	rẽ ra, giạng ra
abduct	v	æd'dʌkt	bắt cóc, cuỗm đi
abduction	n	æb'dʌkʃn	sự bắt cóc, sự bắt đi
abductor	n	æb'dʌktə	người bắt cóc, người cuỗm đi
abeam	d	ə'bi:m	, đâm ngang sườn
abecedarian	a	,eibi:si:'deəriən	sắp xếp theo thứ tự abc
abed	d	ə'bed	ở trên giường
abele	n	ə'bi:l	cây bạch dương
abelmosk	n	'eibəlmɔsk	cây vông vàng
aberrance	n	æ'berəns/ (aberrancy) /æ'berənsi	sự lầm lạc
aberrancy	n	æ'berəns/ (aberrancy) /æ'berənsi	sự lầm lạc
aberrant	a	æ'berənt	lầm lạc
aberration	n	æ'be'reiʃn	sự lầm lạc, phút lầm lạc
abet	v	ə'bet	xúi bẩy, xúi giục
abetment	n	ə'betmənt/ (abettal) /ə'betəl	sự xúi bẩy, sự xúi giục
abettal	n	ə'betmənt/ (abettal) /ə'betəl	sự xúi bẩy, sự xúi giục
abette	n	ə'betə/ (abettor) /ə'betə	kẻ xúi giục
abettor	n	ə'betə/ (abettor) /ə'betə	kẻ xúi giục
abeyance	n	ə'beiəns	sự đọng lại
abeyant	a	ə'beiənt	tạm thời đình chỉ, tạm nghỉ hoạt động
abhor	v	əb'hɔ:	ghê tởm, ghét cay ghét đắng
abhorrence	n	əb'hɔrəns	sự ghê tởm
abhorrent	a	əb'hɔrənt	ghê tởm, đáng ghét
abidance	n	ə'baidəns	sự tôn trọng, sự tuân theo
abide	v	ə'baid	tồn tại, kéo dài
abiding	a	ə'baidiɳ	không thay đổi, vĩnh cửu
abietene	n	'æbiəti:n	Abietin
abigail	n	'æbigeil	thị tỳ, nữ tỳ
abilitate	v	ə'biliteit	habiliate
ability	n	ə'biliti	năng lực, khả năng
abiogenesis	n	,eibaiou'dʤenisis/ (abiogeny) /,eibai'ɔdʤini	sự phát sinh tự nhiên
abiogenetic	a	,eibaioudʤi'netik	phát sinh tự nhiên
abiogenetically	d	,eibaioudʤi'netikəli	phát sinh tự nhiên
abiogenist	n	,eibai'ɔdʤinist	người tin thuyết phát sinh tự nhiên
abiogenous	a	,eibai'ɔdʤiəns	phát sinh tự nhiên
abiogeny	n	,eibaiou'dʤenisis/ (abiogeny) /,eibai'ɔdʤini	sự phát sinh tự nhiên
abiological	a	,æbaiə'lɔdʤikəl	phi sinh vật học
abiotic	a	,æbai'ɔtik	vô sinh
abject	a	'æbdʤekt	hèn hạ, thấp hèn
abjection	n	æb'dʤekʃn	sự hèn hạ, sự thấp hèn
abjectness	n	'æbdʤektnis	sự hèn hạ, sự thấp hèn
abjuration	n	,æbdʤuə'reiʃn	sự tuyên bố bỏ, sự thề bỏ
abjure	v	əb'dʤuə	tuyên bố bỏ, nguyện bỏ
ablactation	n	,æblæk'teiʃn	sự cai sữa
ablate	v	æb'leit	cắt bỏ
ablation	n	æb'leʃn	sự cắt bỏ
ablative	a	'æblətiv	cách công cụ
ablaut	n	'æblaut	Aplau
ablaze	a	ə'bleiz	rực cháy, bốc cháy
able	a	'eibl	có năng lực, có tài
ablen	n	'æblin/ (ablet) /'æblit	cá aplet, cá vảy bạc
ablet	n	'æblin/ (ablet) /'æblit	cá aplet, cá vảy bạc
ablings	d	'eibliɳz/ (ablins) /'eiblinz	có lẽ, có thể
ablins	d	'eibliɳz/ (ablins) /'eiblinz	có lẽ, có thể
abloom	a	ə'blu:m	đang nở hoa
abluent	a	'æbluənt	rửa sạch, tẩy sạch
ablush	a	ə'blʌʃ	thẹn đỏ mặt
ablution	n	ə'blu:ʃn	lễ rửa tội, lễ tắm gội
ably	d	'eibli	có khả năng, có tài
abnegate	v	'æbnigeit	nhịn
abnegation	n	,æbni'geiʃn	sự bỏ, sự từ bỏ
abnormal	a	æb'nɔ:məl	không bình thường, khác thường
abnormalcy	n	æb'nɔ:məlsi/ (abnormality) /æbnɔ:'mæliti/ (abnormity) /æb'nɔ:miti	sự không bình thường, sự khác thường
abnormality	n	æb'nɔ:məlsi/ (abnormality) /æbnɔ:'mæliti/ (abnormity) /æb'nɔ:miti	sự không bình thường, sự khác thường
abnormally	d		dị thường, khác thường
abnormity	n	æb'nɔ:məlsi/ (abnormality) /æbnɔ:'mæliti/ (abnormity) /æb'nɔ:miti	sự không bình thường, sự khác thường
aboard	d	ə'bɔ:d	trên tàu, trên boong tàu
abode	n	ə'boud	nơi ở
aboil	a	ə'bɔil	đang sôi
abolish	v	ə'bɔliʃ	thủ tiêu, bãi bỏ
abolishable	a	ə'bɔliʃəbl	có thể thủ tiêu, có thể bãi bỏ
abolisher	n	ə'bɔliʃə	người thủ tiêu, người bãi bỏ
abolishment	n	ə'bɔliʃmənt	sự thủ tiêu, sự bãi bỏ
abolition	n	,æbə'liʃn	sự thủ tiêu, sự bãi bỏ
abolitionise	v	,æbə'liʃənaiz/ (abolitionise) /,æbə'liʃənaiz	làm cho theo chủ nghĩa bãi nô
abolitionism	n	,æbə'liʃənizm	chủ nghĩa bãi nô
abolitionist	n	,æbə'liʃənist	người theo chủ nghĩa bãi nô
abolitionize	v	,æbə'liʃənaiz/ (abolitionise) /,æbə'liʃənaiz	làm cho theo chủ nghĩa bãi nô
abominable	a	ə'bɔminəbl	ghê tởm, kinh tởm
abominableness	n	ə'bɔminəblnis	sự ghê tởm, sự kinh tởm
abominate	v	ə'bɔmineit	ghê tởm, ghét cay ghét đắng
abomination	n	ə,bɔmi'neiʃn	sự ghê tởm, sự kinh tởm
aboriginal	a	,æbə'ridʤənl	thổ dân, thổ sản
aborigines	n	,æbə'ridʤini:z	thổ dân
abort	v	ə'bɔ:t	sẩy thai, đẻ non & )
aborted	a	ə'bɔ:tid	bị sẩy
aborticide	n	ə'bɔ:tisaid	thuốc giết thai
abortifacient	a	ə'bɔ:ti'feiʃənt	phá thai, làm sẩy thai
abortion	n	ə'bɔ:ʃn	sự sẩy thai, sự phá thai
abortionist	n	ə'bɔ:ʃənist	người phá thai
abortive	a	ə'bɔ:tiv	đẻ non
abortiveness	n	ə'bɔ:tivnis	sự đẻ non
aboulia	n	ə'bauliə/ (abulia) /ə'bu:ljə	chứng mất ý chí
abound	v	ə'baund	có rất nhiều, có thừa
abounding	a	ə'baundiɳ	nhiều, phong phú
about	d	ə'baut	xung quanh, quanh quẩn
above	d	ə'bʌv	trên đầu, trên đỉnh đầu
abracadabra	n	,æbrəkə'dæbrə	câu thần chú
abradant	a	ə'breidənt	làm mòn, mài mòn
abrade	v	ə'breid	làm trầy, cọ xơ ra
abranchial	a	ə'bræɳkiəl/ (abranchiate) /ə'bræɳkiit	không mang
abranchiate	a	ə'bræɳkiəl/ (abranchiate) /ə'bræɳkiit	không mang
abrasion	n	ə'breiʤn	sự làm trầy, sự cọ xơ ra
abrasive	a	ə'breisiv	làm trầy
abreast	d	ə'brest	cùng hàng, sóng hàng
abridge	v	ə'bridʤ	rút ngắn lại, cô gọn
abridgement	n	ə'bridʤmənt/ (abridgement) /ə'bridʤmənt	sự rút ngắn, sự cô gọn
abridgment	n	ə'bridʤmənt/ (abridgement) /ə'bridʤmənt	sự rút ngắn, sự cô gọn
abroach	a	ə'broutʃ	bị giùi lỗ, bị chọc thủng
abroad	d	ə'brɔ:d	ở nước ngoài, ra nước ngoài
abrogate	v	'æbrougeit	bãi bỏ, huỷ bỏ
abrogation	n	,æbrou'geiʃn	sự bãi bỏ, sự huỷ bỏ
abrupt	a	ə'brʌpt	bất ngờ, đột ngột
abruption	n	ə'brʌpʃn	sự đứt rời, sự gãy rời
abruptly	d		bất ngờ, đột ngột
abruptness	n	ə'brʌptnis	sự bất ngờ, sự đột ngột
abscess	n	'æbsis	áp xe
absciss	n	æb'sis	độ hoành
abscissa	n	æb'sisə	absciss
abscissae	n	æb'sisə	absciss
abscisse	n	æb'sis	absciss
abscission	n	æb'siʤn	sự cắt bỏ
abscond	v	əb'skɔnd	lẫn trốn, bỏ trốn
absconder	n	əb'skɔndə	người lẫn trốn, người bỏ trốn
absence	n	'æbsəns	sự vắng mặt, sự nghỉ
absent	a	'æbsənt	vắng mặt, đi vắng
absentee	n	,æbsən'ti:	người vắng mặt, người đi vắng
absenteeism	n	,æbsən'ti:izm	sự hay vắng mặt, sự vắng mặt không có lý
absently	d	'æbsəntli	lơ đãng
absinth	n	'æbsinθ/ (absinthe) /'æbsinθ	cây apxin, cây ngải đắng
absinthe	n	'æbsinθ/ (absinthe) /'æbsinθ	cây apxin, cây ngải đắng
absinthian	a	æb'sinθiən	apxin
absolute	a	'æbsəlu:t	tuyệt đối, hoàn toàn
absolutely	d	'æbsəlu:tli	tuyệt đối, hoàn toàn
absoluteness	n	'æbsəlu:tnis	tính tuyệt đối, tính hoàn toàn
absolution	n	,æbsə'lu:ʃn	sự tha tội, sự miễn xá
absolutism	n	'æbsəlu:tizm	sự chuyên chế, chính thể chuyên chế
absolutist	n	'æbsəlu:tist	người theo chính thể chuyên chế
absolve	v	əb'zɔlv	tha tội, xá tội
absonant	a	'æbsənənt	không hợp điệu, không hoà hợp
absorb	v	əb'sɔ:b	hút, hút thu
absorbability	n	əb,sɔ:bə'biliti	khả năng hút thu
absorbable	a	əb'sɔ:bəbl	có thể nuốt được, có thể bị hút
absorbed	a	əb'sɔ:bd	miệt mài, mê mải
absorbedly	d	əb'sɔ:bidli	miệt mài, mê mải
absorbefacient	a	əb,sɔ:bi'feiʃənt	làm tiêu đi, làm tan đi
absorbent	a	əb'sɔ:bənt	hút nước, thấm hút
absorber	n	əb'sɔ:bə	thiết bị hút thu
absorbing	a	əb'sɔ:biɳ	hấp dẫn, làm say mê
absorption	n	əb'sɔ:pʃn	sự hút, sự hút thu
absorptive	a	əb'sɔ:ptiv	hút thu
absorptivity	n	,æbsɔ:p'tiviti	khả năng hút thu
abstain	v	əb'stein	kiêng, kiêng khem
abstainer	n	əb'steinə	người kiêng rượu
abstaining	n	əb'steiniɳ	sự kiêng khem
abstemious	a	æb'sti:mjəs	tiết chế, có điều độ
abstention	n	æb'stenʃn	sự kiêng
absterge	v	əb'stə:dʤ	tẩy, làm sạch
abstergent	a	əb'stə:dʤnt	tẩy, làm sạch
abstersion	n	əb'stə:ʃn	sự tẩy sạch, sự làm sạch
abstersive	a	əb'stə:siv	tẩy, làm sạch
abstinence	n	'æbstinəns	sự kiêng, sự kiêng khem
abstinency	n	'æbstinənsi	thói quen ăn uống điều độ, sự kiêng khem
abstinent	a	'æbstinənt	ăn uống điều độ, kiêng khem
abstract	a	'æbstrækt	trừu tượng
abstracted	a	æb'stræktid	lơ đãng
abstractedly	d	æb'stræktidli	trừu tượng, lý thuyết
abstractedness	n	æb'stræktidnis	sự lơ đãng
abstraction	n	æb'strækʃn	sự trừu tượng, sự trừu tượng hoá
abstractionism	n	æb'strækʃənizm	chủ nghĩa trừu tượng
abstractionist	n	æb'strækʃənist	người theo chủ nghĩa trừu tượng
abstractness	n	'æbstræktnis	tính trừu tượng
abstruse	a	æb'stru:s	khó hiểu
abstruseness	n	æb'stru:snis	tính khó hiểu
absurd	a	əb'sə:d	vô lý
absurdity	n	əb'sə:diti	sự vô lý, sự ngu xuẩn
absurdly	d		vô lý
abulia	n	ə'bauliə/ (abulia) /ə'bu:ljə	chứng mất ý chí
abundance	n	ə'bʌndəns	sự nhiều, sự giàu có
abundant	a	ə'bʌndənt	phong phú, nhiều
abundantly	d		nhiều
abuse	n	ə'bju:s	sự lạm dụng, sự lộng hành
abuser	n	ə'bju:zə	người lạm dụng
abusive	a	ə'bju:siv	lạm dụng
abusiveness	n	ə'bju:sivnis	sự lạm dụng
abut	v	ə'bʌt	giáp giới với, tiếp giáp với
abutilon	n	ə'bju:tilən	giống cây cối xay
abutment	n	ə'bʌtmənt	giới hạn, biên giới
abuttal	n	ə'bʌtl	giới hạn, biên giới
abutter	n	ə'bʌtə	chủ nhà đất láng giềng
abysm	n	ə'bizm	abyss
abysmal	a	ə'bizməl	không đáy, thăm thẳm
abyss	n	ə'bis	vực sâu, vực thẳm
abyssal	a	ə'bisəl	sâu thăm thảm, sâu như vực thẳm
acacia	n	ə'keiʃə	giống cây keo
academe	n	,æk'ədi:m	học viện, trường đại học
academia	n		giới học viện
academic	a	,ækə'demik	học viện, trường đại học
academical	a	,ækə'demikəl	học viện, trường đại học
academically	d		về mặt lý thuyết, thuần về lý thuyết
academicals	n	,ækə'demikəlz	mũ áo đại học
academician	n	ə,ækədə'miʃn	viện sĩ
academy	n	ə'kædəmi	học viện
acaleph	n	'ækəlef	loài sứa
acanthi	n	ə'kænθəs	cây ô rô
acanthus	n	ə'kænθəs	cây ô rô
acari	n	'ækərəs	cái ghẻ
acarpellous	a	,ækɑ:'peləs	không lá noãn
acarpous	a	ə'kɑ:pəs	không sinh quả
acarus	n	'ækərəs	cái ghẻ
acaulesent	a	ə'kɔ:ləs	không thân
acauline	a	ə'kɔ:ləs	không thân
acaulose	a	ə'kɔ:ləs	không thân
acaulous	a	ə'kɔ:ləs	không thân
accede	v	æk'si:d	đồng ý, tán thành
accelerant	n		chất làm phản ứng hoá học xuất hiện nhan
accelerate	v	æk'seləreit	làm nhanh thêm, làm chóng đến
accelerating	a	æk'seləreitiɳ	làm nhanh thêm
acceleration	n	æk'selə'reiʃn	sự làm nhanh thêm, sự thúc mau
accelerative	a	æk'selərətiv	làm nhanh thên, làm mau thêm
accelerator	n	æk'seləreitə	người làm tăng tốc độ
